Date,Cluster,Healthy,Incubating,Infected,M_Suscept,M_Latent,M_Infected,Risk,lat,lon
8,0,441,0,20,3414.4546606830236,11.871508139985558,0.0,0.0,17.33876038,98.1068906
8,1,211,0,1,1718.6156921019565,0.32792619887547714,0.0,0.0,17.11371281,98.40051491
8,2,455,0,12,344.2568597945467,0.46160012683895424,0.0,0.0,17.47290157,98.02630126
8,3,187,0,5,344.29250058834754,0.42595933303798383,0.0,0.0,17.22720545,98.22567455
8,4,228,0,37,339.7363123571431,4.982147564242381,0.0,0.0,17.2121,97.7684
8,5,130,0,1,344.6589824159051,0.0594775054805106,0.0,0.0,16.71198301,98.56604615
8,6,182,0,5,344.2351270177101,0.48333290367547943,0.0,0.0,17.3383,97.667
8,7,566,0,19,343.65221996665974,1.0662399547259684,0.0,0.0,17.56081089,97.92060989
9,0,442,0,20,3924.342096577907,14.536448590463529,0.005799066425069931,0.0,17.33876038,98.1068906
9,1,220,0,1,1977.0645119161254,0.4981013145710112,0.0,0.0,17.11371281,98.40051491
9,2,460,0,14,396.13942440853367,0.6808229339207283,0.0,0.0,17.47290157,98.02630126
9,3,177,0,5,396.19001486949594,0.6302324729582478,0.0,0.0,17.22720545,98.22567455
9,4,231,0,35,391.1695885145674,5.6424174728634,0.00824135502335245,0.0,17.2121,97.7684
9,5,114,0,1,396.68849498368655,0.13175235876772148,0.0,0.0,16.71198301,98.56604615
9,6,178,0,6,396.092273702565,0.7279736398893086,0.0,0.0,17.3383,97.667
9,7,578,0,18,395.58974579101925,1.2298961306301412,0.0006054208050035722,0.0,17.56081089,97.92060989
10,0,445,0,20,4495.701469881206,17.478773073544016,0.01464030026576137,4.883686907650289e-07,17.33876038,98.1068906
10,1,208,0,3,2266.641846530292,1.1819601465406049,0.0,0.0,17.11371281,98.40051491
10,2,460,0,11,454.5210427423959,0.8542090667445579,0.0,0.0,17.47290157,98.02630126
10,3,173,0,6,454.4614316542678,0.9136495778942205,0.0001705769780521332,0.0,17.22720545,98.22567455
10,4,242,0,35,448.99964652069167,6.359365865927871,0.016239422520592683,4.752018860396582e-07,17.2121,97.7684
